settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased
6221566361						Order	116-5933460-0889850	116-5933460-0889850		DLfCPwjHH	Amazon.com	ItemFees	FBAPerOrderFulfillmentFee	-1	AFN	2016-11-18	2016-11-18 05:25:15 UTC	30933767766154			M2-Q0FT-J8PU	1
6221566361						Order	116-5933460-0889850	116-5933460-0889850		DLfCPwjHH	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-1.06	AFN	2016-11-18	2016-11-18 05:25:15 UTC	30933767766154			M2-Q0FT-J8PU	1
6221566361						Order	116-5933460-0889850	116-5933460-0889850		DLfCPwjHH	Amazon.com	ItemFees	FBAWeightBasedFee	-1.66	AFN	2016-11-18	2016-11-18 05:25:15 UTC	30933767766154			M2-Q0FT-J8PU	1
6221566361						Order	116-5933460-0889850	116-5933460-0889850		DLfCPwjHH	Amazon.com	ItemFees	Commission	-2.1	AFN	2016-11-18	2016-11-18 05:25:15 UTC	30933767766154			M2-Q0FT-J8PU	1
6221566361						Order	105-3130963-0170646	105-3130963-0170646		DKfmlYjzH	Amazon.com	ItemPrice	Principal	13.99	AFN	2016-11-18	2016-11-18 02:33:10 UTC	58512231090346			M2-Q0FT-J8PU	1
6221566361						Order	105-3130963-0170646	105-3130963-0170646		DKfmlYjzH	Amazon.com	ItemFees	FBAPerOrderFulfillmentFee	-1	AFN	2016-11-18	2016-11-18 02:33:10 UTC	58512231090346			M2-Q0FT-J8PU	1
6221566361						Order	105-3130963-0170646	105-3130963-0170646		DKfmlYjzH	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-1.06	AFN	2016-11-18	2016-11-18 02:33:10 UTC	58512231090346			M2-Q0FT-J8PU	1
6221566361						Order	105-3130963-0170646	105-3130963-0170646		DKfmlYjzH	Amazon.com	ItemFees	FBAWeightBasedFee	-1.66	AFN	2016-11-18	2016-11-18 02:33:10 UTC	58512231090346			M2-Q0FT-J8PU	1
6221566361						Order	105-3130963-0170646	105-3130963-0170646		DKfmlYjzH	Amazon.com	ItemFees	Commission	-2.1	AFN	2016-11-18	2016-11-18 02:33:10 UTC	58512231090346			M2-Q0FT-J8PU	1
6221566361						Order	109-3096951-0381845	109-3096951-0381845		DpTrNrDFH	Amazon.com	ItemPrice	Principal	7.99	AFN	2016-11-17	2016-11-17 23:27:57 UTC	40450043275258			3N-ND1U-OAKS	1
