seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
YH-BYN6AW018B35	B01M1JNSQ2	B01M1JNSQ2	NewItem	SELLABLE	11
PU-YZ9L-B831	B01K1ULMCS	B01K1ULMCS	NewItem	SELLABLE	29
CL-BYN6AC001W03	B01JODSTT2	B01JODSTT2	NewItem	SELLABLE	38
YH-BYN6AW018N05	B01LX03HK0	B01LX03HK0	NewItem	SELLABLE	0
U6-RHVE-I53I	B01K1ULMD2	B01K1ULMD2	NewItem	SELLABLE	35
YH-BY4834NN5SGK	B01M1523K4	B01M1523K4	NewItem	SELLABLE	0
YH-BYN6AW021NO3	B01N8SS8HA	B01N8SS8HA	NewItem	SELLABLE	19
YH-BY4834XMA2Q4	B01LZIHDVT	B01LZIHDVT	NewItem	SELLABLE	0
YH-BYN6AC026CN4	B01M1IDZ83	B01M1IDZ83	NewItem	SELLABLE	41
YH-BYN7SC013AO8	B01N7TBCFL	B01N7TBCFL	NewItem	SELLABLE	0
YH-BYN6AS019A22	B01N0AIDBQ	B01N0AIDBQ	NewItem	SELLABLE	28
YH-BYN6AH021A32	B01MFGW8NH	B01MFGW8NH	NewItem	SELLABLE	27
YH-BYN7SC002NR4	B01N2YYGYB	B01N2YYGYB	NewItem	SELLABLE	3
YH-BYN7SC004BA5	B01MR644T3	B01MR644T3	NewItem	SELLABLE	50
YH-BYN6AC025WN2	B01LXA1LDO	B01LXA1LDO	NewItem	SELLABLE	16
YH--BYN6AC014W05	B01LX8K3OC	B01LX8K3OC	NewItem	SELLABLE	0
YH-BYN6AW018N02	B01LXBUX5Y	B01LXBUX5Y	NewItem	SELLABLE	0
YH-BYN6AW018N02	B01LXBUX5Y	B01LXBUX5Y	NewItem	UNSELLABLE	1
YH-BYN7SC004RA8	B01NBUD7FU	B01NBUD7FU	NewItem	SELLABLE	50
YH-BY483456240N	B01MDMBYQ6	B01MDMBYQ6	NewItem	SELLABLE	45
YH-BYN6AC026KN4	B01LY96LKK	B01LY96LKK	NewItem	SELLABLE	53
YH-BYN6AC029N04	B01LZ8VXHM	B01LZ8VXHM	NewItem	SELLABLE	8
YH-BYN7SC004BA8	B01N7SAY9G	B01N7SAY9G	NewItem	SELLABLE	50
YH-BYN6AC029N03	B01LXAPLHY	B01LXAPLHY	NewItem	SELLABLE	17
YH-BYN6AW018A32	B01LZA0ZCZ	B01LZA0ZCZ	NewItem	SELLABLE	0
YH-BYN6AA017AO4	B01M5JCC2Q	B01M5JCC2Q	NewItem	SELLABLE	44
YH--BYN6AS012NA2	B01LYHHS69	B01LYHHS69	NewItem	SELLABLE	7
YH-BYN6AC027W03	B01LYX288T	B01LYX288T	NewItem	SELLABLE	15
YH-BYN6AH021NA3	B01MRFQSSO	B01MRFQSSO	NewItem	SELLABLE	0
YH-BYN6AH021NA3	B01MRFQSSO	B01MRFQSSO	NewItem	UNSELLABLE	1
YH-BY48349S6965	B01N40QXE8	B01N40QXE8	NewItem	SELLABLE	0
YH-BYN6AW017BW4	B01LWY90GA	B01LWY90GA	NewItem	SELLABLE	20
YH-BYN7SC010A17	B01N2431A5	B01N2431A5	NewItem	SELLABLE	0
YH-BY4834805N93	B01LY7LQLI	B01LY7LQLI	NewItem	SELLABLE	0
YH-BYN7SC004BA6	B01NATDE3M	B01NATDE3M	NewItem	SELLABLE	50
YH--BYN6AC014B13	B01LX8JRPD	B01LX8JRPD	NewItem	SELLABLE	16
YH-BY483437ZZFK	B01LX4W3YH	B01LX4W3YH	NewItem	SELLABLE	0
YH--BYN6AC014W04	B01LZUCKY4	B01LZUCKY4	NewItem	SELLABLE	0
YH-BYN6AC039G54	B01LY461A5	B01LY461A5	NewItem	SELLABLE	25
YH-BYN6AC028W04	B01M07ZGFE	B01M07ZGFE	NewItem	SELLABLE	20
EN-I422-DM06	B01K1ULJ7Q	B01K1ULJ7Q	NewItem	SELLABLE	26
YH-BYN7SC002NR5	B01MT466JX	B01MT466JX	NewItem	SELLABLE	5
YH-BYN7SC002NR5	B01MT466JX	B01MT466JX	NewItem	UNSELLABLE	1
YH-BYN7SC009B24	B01NARA5WO	B01NARA5WO	NewItem	SELLABLE	23
QZ-334H-HV0L	B01K1ULJ7G	B01K1ULJ7G	NewItem	SELLABLE	60
YH-BYN6AA017BO3	B01M5JD6XB	B01M5JD6XB	NewItem	SELLABLE	47
YH-BYN6AW017BA3	B01LWY8TPQ	B01LWY8TPQ	NewItem	SELLABLE	13
YH-BYE6QK005A12	B01LXCB8RU	B01LXCB8RU	NewItem	SELLABLE	79
YH-BYE6QK005A33	B01LXCB8RV	B01LXCB8RV	NewItem	SELLABLE	1
YH-BY48347T7IE6	B01LWT9UZ6	B01LWT9UZ6	NewItem	SELLABLE	1
YH-BYN6AC027N05	B01LXY5MU2	B01LXY5MU2	NewItem	SELLABLE	7
YH-BYN7SC002AN1	B01N5KCWZP	B01N5KCWZP	NewItem	SELLABLE	22
